"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","gammaLL",78,0.428,1.859,0.299,0.161,0.522,0.097,0.185,0.477,0.018
"X10hr_loading_Mgha","lnormLL",107,0.21,-0.454,0.098,-0.217,1.014,0.069,0.068,0.044,0.008
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","gammaLL",119,0.094,1.332,0.161,0.121,14.56,2.154,0.148,0.267,0.025
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_Mgha","lnormLL",57,0.59,0.523,0.155,0.296,1.151,0.107,0.093,0.268,0.02
"cwd_rotten_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","lnormLL",90,0.26,0.954,0.118,0.123,1.113,0.083,0.074,0.075,0.026
"fwd_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",125,0.067,1.292,0.155,0.12,2.312,0.335,0.145,0.004,0.025
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",129,0.015,1.341,0.157,0.117,0.209,0.03,0.143,0.407,0.009
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",124,0.06,2.313,0.287,0.124,1.177,0.163,0.138,0.239,0.018
"snag_loading_Mgha","lnormLL",58,0.531,0.776,0.129,0.166,0.978,0.09,0.092,0.681,0.015
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",130,0,0.938,0.107,0.114,0.018,0.003,0.148,0.034,0.017
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
