"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","gammaLL",1193,0.118,1.524,0.057,0.037,0.318,0.014,0.044,0,0.012
"X10hr_loading_Mgha","gammaLL",1318,0.023,1.331,0.047,0.036,0.548,0.023,0.042,0.001,0.011
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",121,0.812,1.725,0.06,0.035,0.659,0.043,0.065,0.012,0.023
"X10KhrS_loading_Mgha","lnormLL",176,0.724,2.175,0.051,0.024,0.683,0.035,0.052,0,0.017
"X1hr_loading_Mgha","lnormLL",715,0.079,-1.958,0.054,-0.028,1.453,0.038,0.026,0,0.004
"X1Khr_loading_Mgha","gammaLL",128,0,1.064,0.122,0.114,0.053,0.008,0.148,0.976,0.006
"X1KhrR_loading_Mgha","lnormLL",239,0.636,0.61,0.06,0.098,0.93,0.043,0.046,0.06,0.006
"X1KhrS_loading_Mgha","lnormLL",412,0.375,1.172,0.052,0.045,1.075,0.037,0.034,0.038,0.008
"cwd_loading_Mgha","gammaLL",718,0.238,0.951,0.044,0.047,0.067,0.004,0.061,0.007,0.012
"cwd_rotten_loading_Mgha","lnormLL",455,0.489,1.535,0.062,0.041,1.329,0.044,0.033,0.002,0.01
"cwd_sound_loading_Mgha","lnormLL",583,0.371,1.716,0.052,0.03,1.257,0.036,0.029,0.044,0.007
"duff_depth_","gammaLL",245,0.008,2.586,0.222,0.086,1.043,0.1,0.095,0.018,0.004
"duff_loading_Mgha","gammaLL",471,0.044,1.076,0.062,0.058,0.073,0.005,0.073,0.561,0.003
"fwd_loading_Mgha","gammaLL",81,0,1.76,0.271,0.154,0.284,0.051,0.178,0.42,0.022
"GT10KhrR_loading_Mgha","gammaLL",42,0.933,3.559,0.846,0.238,0.173,0.045,0.258,0.033,0.021
"GT10KhrS_loading_Mgha","gammaLL",53,0.917,4.001,0.817,0.204,0.148,0.032,0.218,0.001,0.015
"herb_loading_Mgha","gammaLL",492,0.014,1.438,0.084,0.059,2.796,0.196,0.07,0,0.017
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","gammaLL",182,0.005,2.339,0.236,0.101,2.031,0.229,0.113,0.19,0.004
"litter_loading_Mgha","gammaLL",564,0.002,1.551,0.086,0.055,0.18,0.012,0.066,0.001,0.017
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",295,0.096,2.013,0.156,0.078,0.936,0.083,0.089,0,0.006
"snag_loading_Mgha","gammaLL",168,0.426,1.052,0.103,0.098,0.164,0.021,0.126,0.161,0.019
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",291,0.014,1.352,0.103,0.076,0.018,0.002,0.091,0,0.017
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
