"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",233,0.14,1.182,0.053,0.045,0.822,0.037,0.045,0.199,0.006
"X10hr_loading_Mgha","lnormLL",259,0.044,0.436,0.065,0.149,1.048,0.046,0.044,0.018,0.008
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",76,0.58,2.584,0.116,0.045,1.018,0.082,0.081,0.288,0.012
"X10KhrS_loading_Mgha","lnormLL",76,0.575,2.71,0.1,0.037,0.884,0.072,0.082,0.382,0.017
"X1hr_loading_Mgha","lnormLL",153,0.078,-1.648,0.099,-0.06,1.235,0.07,0.057,0.215,0.007
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha","gammaLL",95,0.47,1.247,0.174,0.14,0.162,0.027,0.169,0.328,0.019
"X1KhrS_loading_Mgha","gammaLL",114,0.366,1.091,0.133,0.122,0.123,0.019,0.155,0.655,0.019
"cwd_loading_Mgha","gammaLL",233,0.139,0.862,0.071,0.083,0.03,0.003,0.111,0.273,0.012
"cwd_rotten_loading_Mgha","gammaLL",111,0.431,0.858,0.105,0.122,0.034,0.006,0.162,0.29,0.017
"cwd_sound_loading_Mgha","gammaLL",128,0.328,0.735,0.083,0.113,0.033,0.005,0.156,0.059,0.02
"duff_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",74,0.086,0.808,0.124,0.154,0.043,0.009,0.209,0.19,0.012
"fwd_loading_Mgha","gammaLL",85,0,1.438,0.211,0.147,0.271,0.048,0.177,0.128,0.018
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",83,0.024,0.942,0.138,0.147,2.727,0.524,0.192,0.561,0.006
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",82,0,2.062,0.321,0.156,0.436,0.076,0.175,0.418,0.02
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",79,0.071,1.884,0.29,0.154,0.949,0.166,0.175,0,0.043
"snag_loading_Mgha","lnormLL",64,0.177,2.643,0.158,0.06,1.267,0.11,0.087,0.599,0.007
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",77,0.025,1.623,0.261,0.161,0.015,0.003,0.187,0.576,0.006
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
