"fueltype","dist.LL","tie","dist1.fit","dist2.fit","dist3.fit","dist4.fit"
"os_loading",NA,0,NA,NA,NA,NA
"ms_loading",NA,0,NA,NA,NA,NA
"us_loading",NA,0,NA,NA,NA,NA
"tree_loading",-834,1,"gamma","weibull","logNormal","normal"
"snag_loading",-402,0,"logNormal","weibull","gamma","normal"
"shrub_loading",-204,0,"weibull","gamma","normal","logNormal"
"herb_loading",67,0,"weibull","gamma","normal","logNormal"
"herb_percentlive",NA,0,NA,NA,NA,NA
"moss_loading",NA,0,NA,NA,NA,NA
"lichen_loading",NA,0,NA,NA,NA,NA
"litter_loading",-369,0,"logNormal","gamma","weibull","normal"
"litter_depth",NA,0,NA,NA,NA,NA
"duff_loading",-584,0,"gamma","weibull","logNormal","normal"
"duff_depth",NA,0,NA,NA,NA,NA
"X1hr_loading",83,0,"logNormal","gamma","weibull","normal"
"X10hr_loading",-1251,0,"gamma","weibull","logNormal","normal"
"X100hr_loading",-2026,0,"logNormal","gamma","weibull","normal"
"fwd_loading",-392,1,"logNormal","gamma","weibull","normal"
"X1000hrS_loading",-1828,0,"gamma","logNormal","weibull","normal"
"X1000hrR_loading",-377,0,"logNormal","gamma","weibull","normal"
"X1000hr_loading",-2033,0,"logNormal","gamma","weibull","normal"
"X10000hrS_loading",-2306,0,"logNormal","gamma","weibull","normal"
"X10000hrR_loading",-794,0,"logNormal","gamma","weibull","normal"
"X10000hr_loading",-2703,0,"logNormal","gamma","weibull","normal"
"GT10000hrS_loading",-1839,0,"logNormal","gamma","weibull","normal"
"GT10000hrR_loading",-635,0,"logNormal","gamma","weibull","normal"
"GT10000hr_loading",-2235,0,"logNormal","gamma","weibull","normal"
"cwd_sound_loading",-4568,0,"weibull","gamma","logNormal","normal"
"cwd_rotten_loading",-2954,1,"logNormal","weibull","gamma","normal"
"cwd_loading",-6336,0,"weibull","gamma","logNormal","normal"
