"fueltype","dist.LL","tie","dist1.fit","dist2.fit","dist3.fit","dist4.fit"
"os_loading",NA,0,NA,NA,NA,NA
"ms_loading",NA,0,NA,NA,NA,NA
"us_loading",NA,0,NA,NA,NA,NA
"tree_loading",-5530,0,"weibull","gamma","normal","logNormal"
"snag_loading",-773,0,"logNormal","weibull","gamma","normal"
"shrub_loading",-1114,0,"logNormal","gamma","weibull","normal"
"herb_loading",694,0,"weibull","gamma","logNormal","normal"
"herb_percentlive",NA,0,NA,NA,NA,NA
"moss_loading",NA,0,NA,NA,NA,NA
"lichen_loading",NA,0,NA,NA,NA,NA
"litter_loading",-3103,0,"weibull","gamma","logNormal","normal"
"litter_depth",NA,0,NA,NA,NA,NA
"duff_loading",-2620,0,"logNormal","gamma","weibull","normal"
"duff_depth",NA,0,NA,NA,NA,NA
"X1hr_loading",2328,0,"logNormal","gamma","weibull","normal"
"X10hr_loading",-316,0,"logNormal","gamma","weibull","normal"
"X100hr_loading",-1212,0,"logNormal","gamma","weibull","normal"
"fwd_loading",-1934,0,"gamma","weibull","logNormal","normal"
"X1000hrS_loading",NA,0,NA,NA,NA,NA
"X1000hrR_loading",NA,0,NA,NA,NA,NA
"X1000hr_loading",NA,0,NA,NA,NA,NA
"X10000hrS_loading",NA,0,NA,NA,NA,NA
"X10000hrR_loading",NA,0,NA,NA,NA,NA
"X10000hr_loading",NA,0,NA,NA,NA,NA
"GT10000hrS_loading",NA,0,NA,NA,NA,NA
"GT10000hrR_loading",NA,0,NA,NA,NA,NA
"GT10000hr_loading",NA,0,NA,NA,NA,NA
"cwd_sound_loading",NA,0,NA,NA,NA,NA
"cwd_rotten_loading",NA,0,NA,NA,NA,NA
"cwd_loading",-1098,0,"logNormal","weibull","gamma","normal"
