"","os_loading","ms_loading","us_loading","tree_loading","snag_loading","shrub_loading","herb_loading","herb_percentlive","moss_loading","lichen_loading","litter_loading","litter_depth","duff_loading","duff_depth","X1hr_loading","X10hr_loading","X100hr_loading","fwd_loading","X1000hrS_loading","X1000hrR_loading","X1000hr_loading","X10000hrS_loading","X10000hrR_loading","X10000hr_loading","GT10000hrS_loading","GT10000hrR_loading","GT10000hr_loading","cwd_sound_loading","cwd_rotten_loading","cwd_loading"
"os_loading",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ms_loading",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"us_loading",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tree_loading",NA,NA,NA,NA,1517,1517,1517,0,0,0,1481,0,1481,0,1496,1496,1496,1496,0,0,0,0,0,0,0,0,0,0,0,1515
"snag_loading",NA,NA,NA,NA,NA,1517,1517,0,0,0,1481,0,1481,0,1496,1496,1496,1496,0,0,0,0,0,0,0,0,0,0,0,1515
"shrub_loading",NA,NA,NA,NA,NA,NA,1548,0,0,0,1512,0,1512,0,1525,1525,1525,1525,0,0,0,0,0,0,0,0,0,0,0,1546
"herb_loading",NA,NA,NA,NA,NA,NA,NA,0,0,0,1512,0,1512,0,1525,1525,1525,1525,0,0,0,0,0,0,0,0,0,0,0,1546
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moss_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lichen_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"litter_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1512,0,1492,1492,1492,1492,0,0,0,0,0,0,0,0,0,0,0,1512
"litter_depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"duff_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1492,1492,1492,1492,0,0,0,0,0,0,0,0,0,0,0,1512
"duff_depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,1525,1525,0,0,0,0,0,0,0,0,0,0,0,1525
"X10hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,1525,0,0,0,0,0,0,0,0,0,0,0,1525
"X100hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,0,0,0,0,0,0,0,0,0,0,0,1525
"fwd_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1525
"X1000hrS_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"X1000hrR_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"X1000hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"X10000hrS_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"X10000hrR_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"X10000hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
